,model_input,desired_product,model_output
0,Predict the reaction that produces the following product: Nc1cccc2c(Oc3ccc(F)c(C(F)(F)F)c3)ccnc12,Nc1cccc2c(Oc3ccc(F)c(C(F)(F)F)c3)ccnc12,<smiles>CCO.O=[N+]([O-])c1cccc2c(Oc3ccc(F)c(C(F)(F)F)c3)ccnc12.[Pd]<smiles/>
1,Predict the reaction that produces the following product: O=C1CNc2ncnc(N3CCNCC3)c2N1,O=C1CNc2ncnc(N3CCNCC3)c2N1,<smiles>C1CNCCN1.O=C1CNc2ncnc(Cl)c2N1<smiles/>
2,Predict the reaction that produces the following product: C[C@@H](OCc1ccccc1)[C@@H](C(=O)OCc1ccccc1)N1CC2(CCCCC2)C1=O,C[C@@H](OCc1ccccc1)[C@@H](C(=O)OCc1ccccc1)N1CC2(CCCCC2)C1=O,<smiles>C1CCOC1.C[C@@H](OCc1ccccc1)[C@H](NC(=O)C1(CO)CCCCC1)C(=O)OCc1ccccc1.O=C([O-])O~[Na+].[H-]~[Na+]<smiles/>
3,Predict the reaction that produces the following product: CSC(=C[N+](=O)[O-])NCC(O)c1cccc(C)c1,CSC(=C[N+](=O)[O-])NCC(O)c1cccc(C)c1,<smiles>CCO.CSC(=C[N+](=O)[O-])SC.Cc1cccc(C(O)CN)c1<smiles/>
4,Predict the reaction that produces the following product: CS(=O)(=O)N1CCN(Cc2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3s2)CC1,CS(=O)(=O)N1CCN(Cc2nc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3s2)CC1,<smiles>CC1(C)OB(c2cnc(N)nc2)OC1(C)C.CS(=O)(=O)N1CCN(Cc2nc3c(N4CCOCC4)nc(Cl)nc3s2)CC1<smiles/>
5,Predict the reaction that produces the following product: O=C(O)Cc1ccc(OCc2ccc(Cl)cc2C(=O)O)cc1,O=C(O)Cc1ccc(OCc2ccc(Cl)cc2C(=O)O)cc1,<smiles>CCOC(=O)Cc1ccc(OCc2ccc(Cl)cc2C(=O)OCC)cc1.CO.Cl.[Na+]~[OH-]<smiles/>
6,Predict the reaction that produces the following product: C=COC(=O)C(C)(C)C,C=COC(=O)C(C)(C)C,<smiles>C=COC(C)=O.CC(C)(C)C(=O)O.CCN(CC)CC.CCOCC.O=S(=O)(O)O<smiles/>
7,Predict the reaction that produces the following product: COC(=O)c1sc(C#CC(C)(C)C)cc1N(C(=O)[C@@H]1CC=C(C)CC1)[C@H]1CC[C@H](O)CC1,COC(=O)c1sc(C#CC(C)(C)C)cc1N(C(=O)[C@@H]1CC=C(C)CC1)[C@H]1CC[C@H](O)CC1,<smiles>CC1=CC[C@@H](C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)[C@H]2CC[C@H](O)CC2)CC1.CI.CN(C)C=O.O=C([O-])[O-]~[K+]~[K+]<smiles/>
8,Predict the reaction that produces the following product: COc1cnc(Cl)nc1Oc1cccc([N+](=O)[O-])c1,COc1cnc(Cl)nc1Oc1cccc([N+](=O)[O-])c1,<smiles>COc1cnc(Cl)nc1Cl.O=[N+]([O-])c1cccc(O)c1<smiles/>
9,Predict the reaction that produces the following product: CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,CC(C)(C)OC(=O)N1CCC[C@@H](O)C1,<smiles>CC(C)(C)OC(=O)N1CCC[C@@H](OC(=O)c2ccc([N+](=O)[O-])cc2)C1.CO.O=C([O-])[O-]~[K+]~[K+]<smiles/>
